[Export] Add Discovery preferences, optimized images and bug fixes to Activity Stream;enhancement
[Export] Add FxA snippet, pinned targeting and bug fixes to Activity Stream;enhancement
[Export] Add sharper images, collapsible devtools and bug fixes to Activity Stream;enhancement
[Export] Add hardcoded layout, special snippet and bug fixes to Activity Stream;enhancement
[Export] Add always-fresh layout, below-search design and bug fixes to Activity Stream;enhancement
[Export] Add focus states, fill telemetry and bug fixes to Activity Stream;enhancement
[Export] Add offline fallback, request timeouts and bug fixes to Activity Stream;enhancement
[Export] Add 3-card layout, card adjustments and bug fixes to Activity Stream;enhancement
[Export] Add top source, unblank discovery and bug fixes to Activity Stream;enhancement
[Export] Add line-clamp ellipsis, anonymous images and bug fixes to Activity Stream;enhancement
[Export] Add return telemetry, faster stories and bug fixes to Activity Stream;enhancement
[Export] Add placeholder cards, wrapping buttons and bug fixes to Activity Stream;enhancement
[Export] Add accessible links, focus refinements and bug fixes to Activity Stream;enhancement
[Export] Add experimentation sizing, card actions and bug fixes to Activity Stream;enhancement
[Export] Add accessible content, static clamping and bug fixes to Activity Stream;enhancement
[Export] Add scrollable scrollbar, try-again button and bug fixes to Activity Stream;enhancement
[Export] Add disabled checkboxes, reenabled stories and bug fixes to Activity Stream;enhancement
[Export] Add fluent performance, 7-row pocket and bug fixes to Activity Stream;enhancement
[Export] Add Release discovery, AMO telemetry and bug fixes to Activity Stream;enhancement
[Export] Add optimistic images, string robustness and bug fixes to New Tab Page;enhancement
[Export] Add dismissed thumbnail, autohide whatsnew and bug fixes to New Tab Page;enhancement
[Export] Add trailhead cards, accessibile headers and bug fixes to New Tab Page;enhancement
[Export] Add triplets animation, RTAMO installation and bug fixes to New Tab Page;enhancement
[Export] Add Pocket footers, Monitor adjustments and bug fixes to New Tab Page;enhancement
[Export] Add lazy cards, story engagements and bug fixes to New Tab Page;enhancement
[Export] Add extended triplets, moments page mechanism, special snippet;enhancement
[Export] Add modal escaping, simple prerendering and bug fixes to Activity Stream;enhancement
[Export] Add whatsnew badge, optimistic cards and bug fixes to New Tab Page;enhancement
[Export] Add text-promo designs, after-login triplets and bug fixes to New Tab Page;enhancement
[Export] Add TopSites spocs, promo backend and bug fixes to New Tab Page;enhancement
[Export] Add bookmarked CFR, errored snippet and bug fixes to New Tab Page;enhancement
[Export] Add sending PDFs, undismissing spocs and bug fixes to New Tab Page;enhancement
[Export] Add scrollable modal, autofocusable menus and bug fixes to New Tab Page;enhancement
[Export] Add engagement pref, join variant and bug fixes to New Tab Page;enhancement
[Export] Add modal-less welcome, send-tab recipes and bug fixes to New Tab Page;enhancement
[Export] Add privacy menu, optional sync and bug fixes to New Tab Page;enhancement
[Export] Add welcome experiments, pressed styles and bug fixes to New Tab Page;enhancement
[Export] Add spoc privacy modal fix, bug fixes, and personalization switch to New Tab Page;enhancement
[Export] Add string change and test to New Tab Page;enhancement
[Export] Add Pocket tile type to Top Story click ping;enhancement
